Setting;Value type;Default value;Location;Comment;Min PHP version;Max PHP version;Module;Min module version;Max module version
session_pgsql.failover_mode;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
session_pgsql.gc_interval;VALUE_TYPE_INTEGER;3600;PHP_INI_SYSTEM;"";;;;;
session_pgsql.keep_expired;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
session_pgsql.sem_file_name;VALUE_TYPE_STRING;/tmp/php_session_pgsql;PHP_INI_SYSTEM;"";;;;;
session_pgsql.serializable;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
session_pgsql.short_circuit;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
session_pgsql.use_app_vars;VALUE_TYPE_INTEGER;0;PHP_INI_SYSTEM;"";;;;;
session_pgsql.vacuum_interval;VALUE_TYPE_INTEGER;21600;PHP_INI_SYSTEM;"";;;;;
short_open_tag;VALUE_TYPE_INTEGER;1;PHP_INI_PERDIR;"PHP_INI_ALL in PHP 4.0.0. PHP_INI_PERDIR in PHP >= 4.0.1.";;;;;
SMTP;VALUE_TYPE_STRING;localhost;PHP_INI_ALL;"";;;;;
smtp_port;VALUE_TYPE_INTEGER;25;PHP_INI_ALL;"Available since PHP 4.3.0.";4.3.0;;;;
soap.wsdl_cache;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 5.1.5.";5.1.5;;;;
soap.wsdl_cache_dir;VALUE_TYPE_STRING;/tmp;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
soap.wsdl_cache_enabled;VALUE_TYPE_INTEGER;1;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
soap.wsdl_cache_limit;VALUE_TYPE_INTEGER;5;PHP_INI_ALL;"Available since PHP 5.1.5.";5.1.5;;;;
soap.wsdl_cache_ttl;VALUE_TYPE_INTEGER;86400;PHP_INI_ALL;"Available since PHP 5.0.0.";5.0.0;;;;
